nid,openchannels,capacity
1560,2,210000
1561,2,254508
1562,3,781691
1563,901,3303111411
1564,1,20000
1565,1,143847
1566,0,0
1567,8,800000
1568,1,500000
1569,0,0
1570,0,0
1571,1,34479
1572,6,313025
1573,0,0
1574,0,0
1575,1,60000
1576,2,40000
1577,0,0
1578,1,192217
1579,6,2597697
1580,1,60000
1581,21,4320000
1582,4,2560563
1583,7,1100000
1584,1,100000
1585,0,0
1586,1,1000000
1587,0,0
1588,43,51000000
1589,3,2075000
1590,0,0
1591,3,3220000
1592,3,8999886
1593,2,11000000
1594,1,17000
1595,4,27500000
1596,1,20000
1597,0,0
1598,1,33120
1599,3,300000
1600,0,0
1601,6,2550000
1602,11,4153652
1603,83,218515122
1604,0,0
1605,0,0
1606,0,0
1607,1,60000
1608,0,0
1609,2,161337
1610,1,80000
1611,3,129155
1612,0,0
1613,0,0
1614,2,71163
1615,1,60000
1616,0,0
1617,1,100000
1618,2,96070
1619,0,0
1620,20,25288713
1621,3,110000
1622,11,44411696
1623,3,1025000
1624,1,60000
1625,0,0
1626,0,0
1627,13,23084251
1628,29,39202652
1629,7,2561337
1630,67,434466790
1631,1,30000
1632,1,60000
1633,0,0
1634,1,36984
1635,1,100000
1636,1,117912
1637,0,0
1638,3,12600
1639,2,125843
1640,0,0
1641,0,0
1642,0,0
1643,26,2480718
1644,1,30606
1645,209,25634764
1646,1,40000
1647,1,200000
1648,0,0
1649,0,0
1650,0,0
1651,0,0
1652,38,32711897
1653,1,500000
1654,7,2643341
1655,1,100000
1656,6,4501570
1657,0,0
1658,2,290000
1659,0,0
1660,5,199613
1661,2,26170815
1662,2,57976
1663,1,417869
1664,2,5540000
1665,9,16831228
1666,5,1169600
1667,1,20000
1668,0,0
1669,0,0
1670,2,13000000
1671,1,256356
1672,1,604794
1673,1,1500
1674,1,150000
1675,0,0
1676,0,0
1677,2,452790
1678,1,124825
1679,1,500000
1680,0,0
1681,24,3790441
1682,3,311956
1683,99,110698245
1684,2,700000
1685,13,18658878
1686,1,3000000
1687,3,499735
1688,29,47136147
1689,3,2600000
1690,3,7322538
